fråga;källa;år
Birkenstock vs Realme;https://en.wikipedia.org/wiki/Birkenstock (1774); https://en.wikipedia.org/wiki/Realme (2018);2026
OnePlus vs Burberry;https://en.wikipedia.org/wiki/OnePlus (2013); https://en.wikipedia.org/wiki/Burberry (1856);2026
Le Coq Sportif vs Gymshark;https://en.wikipedia.org/wiki/Le_Coq_Sportif (1882); https://en.wikipedia.org/wiki/Gymshark (2012);2026
Xiaomi vs Yamaha;https://en.wikipedia.org/wiki/Xiaomi (2010); https://en.wikipedia.org/wiki/Yamaha_Corporation (1887);2026
Carhartt vs Crocs;https://en.wikipedia.org/wiki/Carhartt (1889); https://en.wikipedia.org/wiki/Crocs (2002);2026
Lululemon vs Lee;https://en.wikipedia.org/wiki/Lululemon (1998); https://en.wikipedia.org/wiki/Lee_(jeans) (1889);2026
Saucony vs Under Armour;https://en.wikipedia.org/wiki/Saucony (1898); https://en.wikipedia.org/wiki/Under_Armour (1996);2026
DC Shoes vs New Balance;https://en.wikipedia.org/wiki/DC_Shoes (1994); https://en.wikipedia.org/wiki/New_Balance (1906);2026
Converse vs Volcom;https://en.wikipedia.org/wiki/Converse_(shoe_company) (1908); https://en.wikipedia.org/wiki/Volcom (1991);2026
Arc'teryx vs Suzuki;https://en.wikipedia.org/wiki/Arc%27teryx (1989); https://en.wikipedia.org/wiki/Suzuki (1909);2026
Fila vs Huawei;https://en.wikipedia.org/wiki/Fila_(company) (1911); https://en.wikipedia.org/wiki/Huawei (1987);2026
Hoka vs Brooks;https://en.wikipedia.org/wiki/Hoka (2009); https://en.wikipedia.org/wiki/Brooks_Sports (1914);2026
Ralph Lauren vs Calvin Klein;https://en.wikipedia.org/wiki/Ralph_Lauren_Corporation (1967); https://en.wikipedia.org/wiki/Calvin_Klein (1968);2026
Guess vs Mango;https://en.wikipedia.org/wiki/Guess_(clothing) (1981); https://en.wikipedia.org/wiki/Mango_(retailer) (1984);2026
Vans vs Quiksilver;https://en.wikipedia.org/wiki/Vans (1966); https://en.wikipedia.org/wiki/Quiksilver (1969);2026
Rip Curl vs Champion;https://en.wikipedia.org/wiki/Rip_Curl (1969); https://en.wikipedia.org/wiki/Champion_(sportswear) (1919);2026
Hugo Boss vs Billabong;https://en.wikipedia.org/wiki/Hugo_Boss (1924); https://en.wikipedia.org/wiki/Billabong_(clothing) (1973);2026
Lonely Planet vs Umbro;https://en.wikipedia.org/wiki/Lonely_Planet (1973); https://en.wikipedia.org/wiki/Umbro (1924);2026
Lacoste vs Zara;https://en.wikipedia.org/wiki/Lacoste (1933); https://en.wikipedia.org/wiki/Zara_(retailer) (1975);2026
Gap vs Columbia;https://en.wikipedia.org/wiki/Gap_Inc. (1969); https://en.wikipedia.org/wiki/Columbia_Sportswear (1938);2026
Asics vs Skechers;https://en.wikipedia.org/wiki/Asics (1949); https://en.wikipedia.org/wiki/Skechers (1992);2026
Tommy Hilfiger vs Wrangler;https://en.wikipedia.org/wiki/Tommy_Hilfiger_(company) (1985); https://en.wikipedia.org/wiki/Wrangler_(brand) (1947);2026
Timberland vs Diesel;https://en.wikipedia.org/wiki/Timberland_(company) (1952); https://en.wikipedia.org/wiki/Diesel_(brand) (1978);2026
Uniqlo vs Reebok;https://en.wikipedia.org/wiki/Uniqlo (1984); https://en.wikipedia.org/wiki/Reebok (1958);2026
The North Face vs Urban Outfitters;https://en.wikipedia.org/wiki/The_North_Face (1966); https://en.wikipedia.org/wiki/Urban_Outfitters (1970);2026
